FID,STATEFP,PLACEFP,PLACENS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,PCINECTA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape__Area,Shape__Length
1,20,16025,02393655,2016025,Courtland,Courtland city,25,C1,N,N,G4110,A,695833,0,+39.7832419,-097.8961594,1179734.2734375,6266.44891537307
2,20,39500,02395682,2039500,Leonardville,Leonardville city,25,C1,N,N,G4110,A,756715,0,+39.3640840,-096.8596789,1267648.11328125,6364.46234740657
3,20,52275,02395307,2052275,Ogden,Ogden city,25,C1,N,N,G4110,A,4333942,147626,+39.1109201,-096.7023529,7454390.046875,26612.3698438954
4,20,59875,02396376,2059875,Riley,Riley city,25,C1,N,N,G4110,A,1256286,0,+39.2989676,-096.8275784,2100649.90234375,9025.53360037576
5,20,52200,02395304,2052200,Offerle,Offerle city,25,C1,N,N,G4110,A,711971,0,+37.8907233,-099.5603505,1145061.08203125,4683.65910632836
6,20,15475,02393631,2015475,Copeland,Copeland city,25,C1,N,N,G4110,A,603443,0,+37.5402401,-100.6286067,961440.0859375,6055.98352611793
7,20,15400,02393627,2015400,Coolidge,Coolidge city,25,C1,N,N,G4110,A,1196248,0,+38.0414247,-102.0078189,1931767.93359375,6144.03374907175
8,20,53525,02396103,2053525,Otis,Otis city,25,C1,N,N,G4110,A,810548,0,+38.5347998,-099.0534977,1326681.75390625,5455.78770204743
9,20,14700,02393591,2014700,Coldwater,Coldwater city,25,C1,N,N,G4110,A,6635968,871705,+37.2675428,-099.3234003,11872877.3085938,27416.4286574628
10,20,57850,02396289,2057850,Protection,Protection city,25,C1,N,N,G4110,A,2400886,0,+37.2003912,-099.4807745,3791063.91796875,9482.92365841939
11,20,79550,02397330,2079550,Wilmore,Wilmore city,25,C1,N,N,G4110,A,458646,0,+37.3350358,-099.2101972,726794.30859375,5004.83122286127
12,20,17625,02394515,2017625,Denison,Denison city,25,C1,N,N,G4110,A,290947,0,+39.3937945,-095.6284508,487807.34765625,3067.97408505651
13,20,32825,00485594,2032825,Holton,Holton city,25,C5,N,N,G4110,A,6930795,215243,+39.4698613,-095.7325554,12007190.7929688,29953.1473300886
14,20,33375,02394433,2033375,Hoyt,Hoyt city,25,C1,N,N,G4110,A,1215390,0,+39.2493585,-095.7079210,2029418.765625,9700.35322430849
15,20,45250,02395050,2045250,Mayetta,Mayetta city,25,C1,N,N,G4110,A,437483,0,+39.3385981,-095.7214727,732346.01171875,4112.39358689816
16,20,66175,02395907,2066175,Soldier,Soldier city,25,C1,N,N,G4110,A,382017,0,+39.5372274,-095.9655842,643124.15625,4142.84252730529
17,20,78100,02397306,2078100,Whiting,Whiting city,25,C1,N,N,G4110,A,2607551,0,+39.5878739,-095.6112004,4396158.21484375,9116.51714538597
18,20,63275,02396547,2063275,Sawyer,Sawyer city,25,C1,N,N,G4110,A,466499,0,+37.4984570,-098.6829511,742437.2578125,5602.39711964548
19,20,63150,02396540,2063150,Satanta,Satanta city,25,C1,N,N,G4110,A,1589928,0,+37.4377737,-100.9880211,2526312.9296875,10046.3162370353
20,20,68775,02395994,2068775,Sublette,Sublette city,25,C1,N,N,G4110,A,2719688,0,+37.4822265,-100.8464917,4326544.10546875,16833.3812976252
21,20,49075,00485627,2049075,Mullinville,Mullinville city,25,C1,N,N,G4110,A,1661429,0,+37.5885744,-099.4755601,2650528.73046875,7820.2847252594
22,20,09800,02393485,2009800,Byers,Byers city,25,C1,N,N,G4110,A,438297,0,+37.7878963,-098.8670554,702963.01953125,3427.11585469588
23,20,39825,00485613,2039825,Liberal,Liberal city,25,C5,Y,N,G4110,A,29602296,572999,+37.0461108,-100.9296092,47455989.6953125,51104.5973142733
24,20,48600,02395416,2048600,Moscow,Moscow city,25,C1,N,N,G4110,A,445862,0,+37.3250904,-101.2067771,706342.5,4340.31089809759
25,20,36000,00485601,2036000,Kansas City,Kansas City city,25,C5,Y,N,G4110,A,323068566,9237731,+39.1225389,-094.7417813,552907029.5,120229.051481801
26,20,02900,00485542,2002900,Atchison,Atchison city,25,C5,Y,N,G4110,A,20752884,1179629,+39.5625524,-095.1366109,36949965.9101563,83265.1380248814
27,20,20025,02394629,2020025,Effingham,Effingham city,25,C1,N,N,G4110,A,1603690,0,+39.5229087,-095.3969190,2698699.07421875,9784.59368180782
28,20,38325,02395625,2038325,Lancaster,Lancaster city,25,C1,N,N,G4110,A,516008,0,+39.5711586,-095.3037122,869539.41796875,5383.09203724496
29,20,48450,02395413,2048450,Morrowville,Morrowville city,25,C1,N,N,G4110,A,371591,0,+39.8453027,-097.1727686,631133.13671875,4081.52333205178
30,20,54200,02396130,2054200,Palmer,Palmer city,25,C1,N,N,G4110,A,799808,6130,+39.6328754,-097.1403768,1360531.90234375,6088.6319169224
31,20,75825,00485656,2075825,Washington,Washington city,25,C5,N,N,G4110,A,2517401,97267,+39.8157976,-097.0484223,4437183.33984375,19716.349173347
32,20,15925,00485560,2015925,Council Grove,Council Grove city,25,C5,N,N,G4110,A,5530703,192223,+38.6631487,-096.4917824,9400077.60546875,27435.6365933807
33,20,19125,02394583,2019125,Dwight,Dwight city,25,C1,N,N,G4110,A,935242,1284,+38.8452131,-096.5921809,1546115.15234375,5233.55013661889
34,20,54575,02396153,2054575,Parkerville,Parkerville city,25,C1,N,N,G4110,A,332389,788,+38.7633153,-096.6609200,548802.03125,3383.00857499838
35,20,58300,02396306,2058300,Radium,Radium city,25,C1,N,N,G4110,A,107153,0,+38.1738117,-098.8944753,173657.30859375,2461.09958912793
36,20,77825,02397300,2077825,White City,White City city,25,C1,N,N,G4110,A,3216985,14870,+38.7933442,-096.7349923,5327911.359375,9295.51455464115
37,20,79650,02397331,2079650,Wilsey,Wilsey city,25,C1,N,N,G4110,A,699465,0,+38.6357178,-096.6764547,1148061.2578125,4558.00680306638
38,20,24175,02394802,2024175,Fowler,Fowler city,25,C1,N,N,G4110,A,1227543,1759,+37.3832646,-100.1957933,1950454.125,5725.38671650992
39,20,45325,02395076,2045325,Meade,Meade city,25,C1,N,N,G4110,A,3790769,0,+37.2836121,-100.3430218,5998846.7109375,20828.0688424414
40,20,56100,02396219,2056100,Plains,Plains city,25,C1,N,N,G4110,A,2587117,0,+37.2642390,-100.5897590,4091989.359375,8091.46108836549
41,20,07975,00485548,2007975,Bonner Springs,Bonner Springs city,25,C5,N,N,G4110,A,40479281,952254,+39.0753683,-094.8717391,68854652.9648438,49045.8995051673
