"Georgetown, Canada",ERROR,ERROR
"Indian Grove, MO",39.51055556,-93.035
"El Dorado, MO",ERROR,ERROR
"West Oak Lane, PA",ERROR,ERROR
"Shanghai, Shanghai, CN",ERROR,ERROR
"French, NM",ERROR,ERROR
"Ryansville, KS",ERROR,ERROR
"Lindsay, Canada",ERROR,ERROR
"Paramaribo, PM, SR",ERROR,ERROR
"Palmetto Bay, FL",25.627186111,-80.320702777
"Tukwila, WA",47.478333333,-122.275555555
"County, NC",ERROR,ERROR
"Coalmont, Canada",ERROR,ERROR
"Fairport, CA",41.985277777,-120.321944444
"Castor, Canada",ERROR,ERROR
"Ingram, WI",45.5058,-90.8164
"Wrexham, United Kingdom",ERROR,ERROR
"St. Paul, NE",41.213611111,-98.46
"Center Grove, IN",39.5773,-86.1971
"Malad, ID",42.19083,-112.24917
"Yazoo, MS",ERROR,ERROR
"County, OK",ERROR,ERROR
"Miami Shores, FL",25.865238888,-80.188333333
"Houlton, OR",ERROR,ERROR
"Aylesworth, OK",34.02805556,-96.62666667
"New Denver, Canada",ERROR,ERROR
"Nevada, CA",ERROR,ERROR
"Gayoso, MO",36.25611111,-89.705
"West Virginia City, SD",ERROR,ERROR
"Hiawatha, NE",ERROR,ERROR
"Brush Creek, IA",ERROR,ERROR
"Wayne, KS",39.7147,-97.5419
"Quebec, Canada",52.0,-72.0
"Sheridan, NE",38.8981,-119.823
"Cinnaminson, NJ",40.0002,-74.9916
"Saint Johns, Canada",ERROR,ERROR
"Gettysburg, KS",ERROR,ERROR
"Berry's Station, KY",ERROR,ERROR
"Walnut Park, CA",33.968888888,-118.223888888
"Keesler Army Airfield, MS",ERROR,ERROR
"County, IL",ERROR,ERROR
"Lakewood, CO",39.706389,-105.102778
"Howland, OH",ERROR,ERROR
"Leonard Town, MD",38.295277777,-76.638055555
"Jerome, KS",38.74722222,-100.52722222
"Looney, OK",ERROR,ERROR
"Silver Reef, UT",37.25277778,-113.36777778
"Shoal Lake, Canada",ERROR,ERROR
"White Oaks, NM",33.7475,-105.736389
"San Acacio, NM",ERROR,ERROR
"Potttstown, PA",ERROR,ERROR
"Du Buque, WI",ERROR,ERROR
"Feldkirch, Austria",ERROR,ERROR
"Reefton, New Zealand",ERROR,ERROR
"St Helens, OR",ERROR,ERROR
"Crieff, United Kingdom",ERROR,ERROR
"LaGrange, KY",ERROR,ERROR
"Wilsonton, KS",ERROR,ERROR
"Lackawanna, NY",42.819444444,-78.825555555
"Garrison, KS",ERROR,ERROR
"Admiral, MD",ERROR,ERROR
"Swan Lake, SD",ERROR,ERROR
"Union, CA",38.3214,-122.31
"Hadley, Canada",ERROR,ERROR
"Coakerville, Canada",ERROR,ERROR
"Cortlandt, NY",41.261388888,-73.9025
"Munson, Canada",ERROR,ERROR
"Motueka, New Zealand",ERROR,ERROR
"Heart Mountain, WY",ERROR,ERROR
"Girard, AL",32.4567,-85.0044
"Conway, IA",40.748611111,-94.619444444
"Orwell, KS",ERROR,ERROR
"Williamsbueg, OH",ERROR,ERROR
"Demersville, MT",ERROR,ERROR
"Weir City, KS",ERROR,ERROR
"Fort MacLeod, Canada",ERROR,ERROR
"Amache, CO",ERROR,ERROR
"Whitewood, Canada",ERROR,ERROR
"Limerick, PA",ERROR,ERROR
"Ewington, IL",ERROR,ERROR
"University Place, NE",ERROR,ERROR
"Voree, WI",42.6824,-88.3059
"Napier Field, AL",31.315265,-85.45434
"Hyde Park, IL",ERROR,ERROR
"Lee's Summit, MO",38.9225,-94.374166666
"White Bluffs, WA",46.6665,-119.485
"Prestonburg, KY",ERROR,ERROR
"Good Hope, LA",29.991388888,-90.400555555
"Consort, Canada",ERROR,ERROR
"Jefferson, OK",36.719166666,-97.790555555
"Laredo, MT",48.719444444,-110.475
"Ngaruawahia, New Zealand",ERROR,ERROR
"CLINTON County, OH",39.41498,-83.80838
"Mcleansboro, IL",38.0901838,-88.5386768
"Kearny, KS",ERROR,ERROR
"Port Wallaroo, Australia",ERROR,ERROR
"McGregor, IA",43.021944444,-91.179722222
"Njardvik, Iceland",ERROR,ERROR
"Borough Of Canterbury, United Kingdom",ERROR,ERROR
"Austin, IL",41.9,-87.76
"Mt. Gilead, OH",ERROR,ERROR
"Brainerd, KS",37.9511,-97.0953
"Cane Hill, AR",ERROR,ERROR
"Animas Forks, CO",37.9308,-107.567
"Saratoga Park, KS",ERROR,ERROR
"Tulln, Austria",ERROR,ERROR
"Niskayuna, NY",42.7798,-73.84568
"Greene, MS",31.22,-88.64
"Powlett, Australia",ERROR,ERROR
"Boone, IN",40.05,-86.47
"Red Fork, OK",36.105555555,-96.024444444
"Terry, KS",ERROR,ERROR
"Ashford, NE",41.641,-103.675
"McCook, NE",40.205277777,-100.626111111
"Midwest City, OK",35.4495,-97.396694444
"Gould, KS",ERROR,ERROR
"Oak Hill, WV",37.982777777,-81.145277777
"Mt. Laurel, NJ",ERROR,ERROR
"West Reading, PA",40.3342,-75.9467
"Denbigh, United Kingdom",ERROR,ERROR
"L' Anse, MI",ERROR,ERROR
"DeLamar, ID",ERROR,ERROR
"Hastings-on-Hudson, NY",40.991111111,-73.874166666
"Birtle, Canada",ERROR,ERROR
"Fort Wrangel, AK",ERROR,ERROR
"Grindavik, Iceland",ERROR,ERROR
"Santee, NE",42.8386,-97.8531
"DeKalb, MO",ERROR,ERROR
"Dover-Foxcroft, ME",45.186111111,-69.220277777
"Highland Park, TX",32.830277777,-96.801111111
"SUSSEX County, NJ",41.14,-74.69
"Village of Pulaski, Oswego Co",ERROR,ERROR
"Cork, Cork, Ireland",ERROR,ERROR
"Havelock, NE",46.0,-65.317
"Argentine, KS",39.075,-94.6725
"North Hills, PA",40.1126,-75.1695
"Fornfelt, MO",ERROR,ERROR
"L''Anse, MI",ERROR,ERROR
"Red Butte, WY",42.806388888,-106.432777777
"Tioga, KS",ERROR,ERROR
"Garfield, UT",37.87,-111.44
"Te Miro, New Zealand",ERROR,ERROR
"Roscoe, KS",39.48083333,-99.76944444
"Dillon, KS",38.6936,-97.1469
"Bull City, KS",ERROR,ERROR
"Sunshine, CO",40.0658,-105.367
"Murray, UT",40.6525,-111.893333333
"DeLand, FL",29.028947222,-81.300447222
"Cape Ann, MA",ERROR,ERROR
"Port Phillip, Australia",ERROR,ERROR
"Cotton Gin, TX",ERROR,ERROR
"Dentonia, KS",39.68388889,-98.4675
"Lawson, Canada",ERROR,ERROR
"Strathcona, Canada",ERROR,ERROR
"Carlton, OK",ERROR,ERROR
"Burien, WA",47.468333333,-122.345555555
"Prairie View, AR",35.3344,-93.5181
"County, CT",ERROR,ERROR
"Brigus, Canada",ERROR,ERROR
"Thompsonville, CT",41.996944444,-72.598888888
"Echo PO, Port Jefferson NY",ERROR,ERROR
"McQueen, OK",34.6667,-99.7017
"Yorksville, IL",ERROR,ERROR
"Primos, PA",ERROR,ERROR
"Beaver Falls, MN",44.58305556,-95.04722222
"Loyal, KS",ERROR,ERROR
"Clatsop, OR",ERROR,ERROR
"Sherman Center, KS",ERROR,ERROR
"Bustleton, PA",40.0991,-75.0436
